1,1,Industry of Interest,2022-06-08 13:45:49,2022-06-08 13:45:49
2,1,Collegiate Sports,2022-06-09 13:45:49,2022-06-09 13:45:49
3,1,Collegiate Clubs,2022-06-10 13:45:49,2022-06-10 13:45:49
4,1,Born/Raised – US,2022-06-11 13:45:49,2022-06-11 13:45:49
5,1,Born/Raised – Global,2022-06-12 13:45:49,2022-06-12 13:45:49
6,1,Location Goal - US State,2022-06-13 13:45:49,2022-06-13 13:45:49
7,1,Location Goal - US City,2022-06-14 13:45:49,2022-06-14 13:45:49
8,1,Location Goal – Europe,2022-06-15 13:45:49,2022-06-15 13:45:49
9,1,Location Goal – Global,2022-06-16 13:45:49,2022-06-16 13:45:49
10,1,Hobbies & Interests,2022-06-17 13:45:49,2022-06-17 13:45:49
11,1,Faith,2022-06-18 13:45:49,2022-06-18 13:45:49
12,1,Global Concerns,2022-06-19 13:45:49,2022-06-19 13:45:49
13,1,Life Obsticles,2022-06-20 13:45:49,2022-06-20 13:45:49
14,1,Veteran,2022-06-20 13:45:49,2022-06-20 13:45:49
